trip_jarak,beh_peta_potensi,sosdem_usia,sosdem_penghasilan_pribadi,sosdem_penghasilan_keluarga,sosdem_pekerjaan_selain,beh_ojek_konvensional,loc_jumlah_pasar,loc_jumlah_ofm,loc_jml_b_permukiman,loc_jumlah_taman,trip_jenis_pesanan_Ride,trip_pickup
2.56,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
1.88,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
1.03,1,41,5499999.5,4499999.5,1,0,0,76,3867,0,1,Sukagalih
3.11,1,41,5499999.5,4499999.5,1,0,1,32,2232,0,1,Arjuna
3.17,1,41,5499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
3.18,1,41,5499999.5,4499999.5,1,0,0,55,2909,0,1,Sukawarna
10.73,1,41,5499999.5,4499999.5,1,0,1,18,542,0,0,Pamoyanan
1.7,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,0,Gegerkalong
1.28,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,0,Gegerkalong
1.66,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,0,Gegerkalong
2.82,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,0,Gegerkalong
0.24,1,41,5499999.5,4499999.5,1,0,1,61,4627,0,0,Sarijadi
4.24,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
6.67,1,41,5499999.5,4499999.5,1,0,0,55,2909,0,1,Sukawarna
1.73,1,41,5499999.5,4499999.5,1,0,0,42,3150,0,1,Isola
0.85,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
1.15,1,41,5499999.5,4499999.5,1,0,1,50,630,0,1,Kebon Jeruk
2.43,1,41,5499999.5,4499999.5,1,0,0,57,453,4,1,Lebak Siliwangi
7.46,1,41,5499999.5,4499999.5,1,0,1,66,1014,0,1,Kebon Pisang
1.93,1,41,5499999.5,4499999.5,1,0,0,57,453,4,1,Lebak Siliwangi
2.1,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
