,trip_jarak,trip_pendapatan_bersih,trip_poin_tambahan,beh_peta_potensi,sosdem_usia,sosdem_jk,sosdem_pendidikan_terakhir,sosdem_jumlah_motor,sosdem_jumlah_mobil,sosdem_anggota_rt,sosdem_posisi_rt,sosdem_penghasilan_pribadi,sosdem_penghasilan_keluarga,sosdem_pekerjaan_selain,beh_platform,beh_rata_jam_online,beh_status_kendaraan,beh_lama_driver,beh_ojek_konvensional,loc_jumlah_pasar,loc_jumlah_sd,loc_jumlah_smp,loc_jumlah_sma,loc_jumlah_pt,loc_jumlah_halte,loc_jumlah_stasiun,loc_jumlah_terminal,loc_jumlah_hotel,loc_jumlah_mall,loc_jumlah_ofm,loc_jumlah_pickup,loc_jumlah_dropoff,loc_populasi,loc_jml_b_permukiman,loc_jumlah_taman,loc_jumlah_kantor,loc_avg_duration,trip_lamanya_waktu_pesanan,sosdem_status_nikah_Menikah,trip_jenis_pesanan_Food,trip_jenis_pesanan_Kurir Barang,trip_jenis_pesanan_Ride,trip_jenis_pembayaran_Tunai
40,4.92,10000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,5,0,1,1,0,0,7,0,61,397,236,23692,3453,0,4.0,1912.006622516556,21.0,1,0,0,1,0
41,3.31,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,3,0,1,0,0,0,5,1,34,237,247,26037,2387,0,7.0,1560.980132450331,16.0,1,0,0,1,1
42,9.51,19200.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,5,4,0,0,0,0,0,6,0,32,245,225,13023,2232,0,2.0,1357.251655629139,33.0,1,0,0,1,1
43,12.4,25700.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,5,0,1,1,0,0,7,0,61,397,236,23692,3453,0,4.0,1912.006622516556,27.0,1,0,1,0,1
44,7.06,15600.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,4,3,16,0,5,0,0,20,1,50,980,579,13277,630,0,2.0,1241.993377483444,27.0,1,1,0,0,1
45,1.66,8000.0,,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,2,5,1,1,0,1,0,1,2,0,24,205,277,26651,1975,0,4.0,1250.470198675497,12.0,1,0,1,0,0
46,6.53,13200.0,,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,3,0,1,0,0,0,5,1,34,237,247,26037,2387,0,7.0,1560.980132450331,24.0,1,0,0,1,1
47,5.47,14800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,5,4,0,0,0,0,0,6,0,32,245,225,13023,2232,0,2.0,1357.251655629139,29.0,0,1,0,0,1
48,1.07,7200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,2,0,0,0,0,0,0,4,0,42,50,61,13130,1225,0,4.0,1453.158940397351,11.0,0,1,0,0,0
49,1.51,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,11.0,0,0,0,1,0
50,3.3,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,18.0,0,0,0,1,0
51,2.22,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,9.0,0,0,0,1,0
52,8.91,18000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,2,0,0,0,0,0,0,4,0,42,50,61,13130,1225,0,4.0,1453.158940397351,44.0,0,0,0,1,0
53,4.18,10400.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,18.0,0,0,0,1,0
54,5.54,14000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,7,3,0,1,0,0,0,5,1,34,237,247,26037,2387,0,7.0,1560.980132450331,41.0,0,1,0,0,0
55,5.27,12800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,8,3,10,2,0,0,0,4,0,61,156,182,27388,4627,0,4.0,1945.026490066225,23.0,0,0,0,1,1
56,3.44,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,27.0,0,0,0,1,0
57,6.1,14800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,5,4,0,0,0,0,0,6,0,32,245,225,13023,2232,0,2.0,1357.251655629139,21.0,0,0,0,1,1
58,3.26,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,4,2,0,3,6,0,0,5,1,35,396,421,8421,465,3,20.0,1212.264900662252,17.0,0,0,0,1,0
59,6.54,13200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,2,2,1,0,1,3,0,0,12,1,75,413,436,6124,135,2,12.0,1218.099337748344,0.0,0,0,0,1,0
60,1.91,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,17.0,0,0,0,1,0
61,1.35,7200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,2,0,0,2,0,0,0,0,22,343,149,6614,655,0,2.0,1159.430463576159,11.0,0,1,0,0,0
